date_captured,substance,url,asin,seller,screenshot
2020-08-25,TB-500,https://www.amazon.com/TB-500-Thymosin-Beta-4-Purity-HPLC-Tested/dp/B07WGWMHQ5/ref=sr_1_5?dchild=1&m=A2ERT4W6X51QOS,B07WGWMHQ5,QRC,https://raw.githubusercontent.com/the-markup/investigation-amazon-peptides/raw/master/screenshots/screencapture-amazon-TB-500-Thymosin-Beta-4-Purity-HPLC-Tested-dp-B07WGWMHQ5-ref-sr-1-5-2020-08-25-14_09_13.png
2020-08-25,Epitalon,https://www.amazon.com/Epitalon-100mg-Purity-HPLC-Lab-Tested/dp/B07WNKPKS6/ref=sr_1_2?dchild=1&m=A2ERT4W6X51QOS,B07WNKPKS6,QRC,https://raw.githubusercontent.com/the-markup/investigation-amazon-peptides/raw/master/screenshots/screencapture-amazon-Epitalon-100mg-Purity-HPLC-Lab-Tested-dp-B07WNKPKS6-ref-sr-1-2-2020-08-25-14_07_01.png
2020-09-08,TB-500,https://www.amazon.com/TB-500-THYMOSIN-BETA-4-5MG-Same-Shipping/dp/B07X8QZ6V7/ref=sr_1_18?dchild=1&m=A3NHLVMZMCF47R,B07X8QZ6V7,APEXBUY,https://raw.githubusercontent.com/the-markup/investigation-amazon-peptides/raw/master/screenshots/screencapture-amazon-TB-500-THYMOSIN-BETA-4-5MG-Same-Shipping-dp-B07X8QZ6V7-ref-sr-1-2-2020-09-08-19_59_27.png
2020-08-25,TB-500,https://www.amazon.com/TB-500-THYMOSIN-BETA-4-5MG-Same-Shipping/dp/B07X8QZ6V7/ref=sr_1_12?dchild=1&m=A3C5TLTWUDRI6T,B07X8QZ6V7,(Pharma Grade Peptides),https://raw.githubusercontent.com/the-markup/investigation-amazon-peptides/raw/master/screenshots/screencapture-amazon-TB-500-THYMOSIN-BETA-4-5MG-Same-Shipping-dp-B07X8QZ6V7-ref-sr-1-18-2020-08-25-14_00_32.png
2020-09-03,TB-500,https://www.amazon.com/TB-500-THYMOSIN-BETA-4-5MG-Same-Shipping/dp/B07X8QZ6V7/ref=sr_1_2?dchild=1&m=A30KPLZE164F8L,B07X8QZ6V7,Pendmo Supplies,https://raw.githubusercontent.com/the-markup/investigation-amazon-peptides/raw/master/screenshots/screencapture-amazon-TB-500-THYMOSIN-BETA-4-5MG-Same-Shipping-dp-B07X8QZ6V7-ref-sr-1-12-2020-09-03-12_37_47.png
2020-09-03,Epitalon,https://www.amazon.com/EPITALON-Same-Day-Shipping-Cut/dp/B07X9QJ77R/ref=sr_1_16?dchild=1&m=A3NHLVMZMCF47R,B07X9QJ77R,Pendmo Supplies,https://raw.githubusercontent.com/the-markup/investigation-amazon-peptides/raw/master/screenshots/screencapture-amazon-EPITALON-Same-Day-Shipping-Cut-dp-B07X9QJ77R-ref-sr-1-14-2020-09-03-12_44_47.png
2020-09-03,Epitalon,https://www.amazon.com/EPITALON-Same-Day-Shipping-Cut/dp/B07X9QJ77R/ref=sr_1_14?dchild=1&m=A3C5TLTWUDRI6T,B07X9QJ77R,(Pharma Grade Peptides),https://raw.githubusercontent.com/the-markup/investigation-amazon-peptides/raw/master/screenshots/screencapture-amazon-EPITALON-Same-Day-Shipping-Cut-dp-B07X9QJ77R-ref-sr-1-16-2020-09-03-14_59_49.png
2020-09-03,TB-500,https://www.amazon.com/Driven-TB-500/dp/B07Y5TQTVK/ref=sr_1_18?dchild=1&m=A3NHLVMZMCF47R,B07Y5TQTVK,Pendmo Supplies,https://raw.githubusercontent.com/the-markup/investigation-amazon-peptides/raw/master/screenshots/screencapture-amazon-Driven-TB-500-dp-B07Y5TQTVK-ref-sr-1-15-2020-09-03-12_45_36.png
2020-09-03,TB-500,https://www.amazon.com/Driven-TB-500/dp/B07Y5TQTVK/ref=sr_1_12?dchild=1&m=A3C5TLTWUDRI6T,B07Y5TQTVK,(Pharma Grade Peptides),https://raw.githubusercontent.com/the-markup/investigation-amazon-peptides/raw/master/screenshots/screencapture-amazon-Driven-TB-500-dp-B07Y5TQTVK-ref-sr-1-18-2020-09-03-15_03_53.png
2020-08-25,TB-500,https://www.amazon.com/Driven-TB-500/dp/B07Y5TQTVK/ref=sr_1_15?dchild=1&m=A3C5TLTWUDRI6T,B07Y5TQTVK,Pendmo Supplies,https://raw.githubusercontent.com/the-markup/investigation-amazon-peptides/raw/master/screenshots/screencapture-amazon-Driven-TB-500-dp-B07Y5TQTVK-ref-sr-1-12-2020-08-25-14_30_04.png
2020-08-25,BPC 157,https://www.amazon.com/Premier-Research-BPC-157/dp/B083D69THK/ref=sr_1_15?dchild=1&m=A3NHLVMZMCF47R,B083D69THK,(Pharma Grade Peptides),https://raw.githubusercontent.com/the-markup/investigation-amazon-peptides/raw/master/screenshots/screencapture-amazon-Premier-Research-BPC-157-dp-B083D69THK-ref-sr-1-15-2020-08-25-13_57_32.png
2020-09-08,Epitalon,https://www.amazon.com/Epitalon-Epithalamin-Activator-Guaranteed-AntiOxidant/dp/B083R9PN81/,B083R9PN81,APEXBUY,https://raw.githubusercontent.com/the-markup/investigation-amazon-peptides/raw/master/screenshots/screencapture-amazon-Epitalon-Epithalamin-Activator-Guaranteed-AntiOxidant-dp-B083R9PN81-ref-sr-1-3-2020-09-08-19_59_47.png
2020-08-25,TB-500,https://www.amazon.com/TB-500-Thymosin-Minimum-Guaranteed-Lyophilized/dp/B083RB35N1/ref=sr_1_16?dchild=1&m=A3NHLVMZMCF47R,B083RB35N1,(Pharma Grade Peptides),https://raw.githubusercontent.com/the-markup/investigation-amazon-peptides/raw/master/screenshots/screencapture-amazon-TB-500-Thymosin-Minimum-Guaranteed-Lyophilized-dp-B083RB35N1-ref-sr-1-16-2020-08-25-13_58_39.png
2020-08-25,Epitalon,https://www.amazon.com/Premier-Research-Epithalon-10mg/dp/B083Y57BSV/ref=sr_1_24?dchild=1&m=A3NHLVMZMCF47R,B083Y57BSV,(Pharma Grade Peptides),https://raw.githubusercontent.com/the-markup/investigation-amazon-peptides/raw/master/screenshots/screencapture-amazon-Premier-Research-Epithalon-10mg-dp-B083Y57BSV-ref-sr-1-24-2020-08-25-14_03_57.png
2020-09-02,TB-500,https://www.amazon.com/500-5MG-Ships-Same-Order/dp/B084R8KTS4/ref=sr_1_3?dchild=1&m=A1NRJZI87KFUBY,B084R8KTS4,PURITY PEPTIDES,https://raw.githubusercontent.com/the-markup/investigation-amazon-peptides/raw/master/screenshots/screencapture-amazon-500-5MG-Ships-Same-Order-dp-B084R8KTS4-ref-sr-1-3-2020-09-02-14_28_31.png
2020-09-03,Melanotan II,https://www.amazon.com/Generic-M-T-2-10mg/dp/B0851WZWB4/ref=sr_1_6?dchild=1&m=A3NHLVMZMCF47R,B0851WZWB4,(Pharma Grade Peptides),https://raw.githubusercontent.com/the-markup/investigation-amazon-peptides/raw/master/screenshots/screencapture-amazon-Generic-M-T-2-10mg-dp-B0851WZWB4-ref-sr-1-6-2020-09-03-14_51_53.png
2020-09-02,DSIP,https://www.amazon.com/5mg-Ships-Same-Day-Order/dp/B085HBY8SJ/ref=sr_1_4?dchild=1&m=A1NRJZI87KFUBY,B085HBY8SJ,PURITY PEPTIDES,https://raw.githubusercontent.com/the-markup/investigation-amazon-peptides/raw/master/screenshots/screencapture-amazon-5mg-Ships-Same-Day-Order-dp-B085HBY8SJ-ref-sr-1-4-2020-09-03-15_58_19.png
2020-09-02,GHRP-6,https://www.amazon.com/G-H-P-R_65mg-Ships-Same-Ordered-Before/dp/B0862BB7ZF/ref=sr_1_2?dchild=1&m=A1NRJZI87KFUBY,B0862BB7ZF,PURITY PEPTIDES,https://raw.githubusercontent.com/the-markup/investigation-amazon-peptides/raw/master/screenshots/screencapture-amazon-G-H-P-R-65mg-Ships-Same-Ordered-Before-dp-B0862BB7ZF-ref-sr-1-2-2020-09-02-14_27_26.png
2020-08-25,TB-500,https://www.amazon.com/Peptide-Supplies-TB-500-Thymosin-Beta-4/dp/B086K3XNWB/ref=sr_1_9?dchild=1&m=A3NHLVMZMCF47R,B086K3XNWB,(Pharma Grade Peptides),https://raw.githubusercontent.com/the-markup/investigation-amazon-peptides/raw/master/screenshots/screencapture-amazon-Peptide-Supplies-TB-500-Thymosin-Beta-4-dp-B086K3XNWB-ref-sr-1-9-2020-08-25-13_55_07.png
2020-09-03,TB-500,https://www.amazon.com/Peptide-Supplies-TB-500-Thymosin-Beta-4/dp/B086K3XNWB/ref=sr_1_5?dchild=1&m=A3C5TLTWUDRI6T,B086K3XNWB,Pendmo Supplies,https://raw.githubusercontent.com/the-markup/investigation-amazon-peptides/raw/master/screenshots/screencapture-amazon-Peptide-Supplies-TB-500-Thymosin-Beta-4-dp-B086K3XNWB-ref-sr-1-5-2020-09-03-11_54_37.png
2020-08-25,Epitalon,https://www.amazon.com/Peptide-Supplies-Epithalon-10mg-Epitalon/dp/B086K4XWFJ/ref=sr_1_19?dchild=1&m=A3NHLVMZMCF47R,B086K4XWFJ,(Pharma Grade Peptides),https://raw.githubusercontent.com/the-markup/investigation-amazon-peptides/raw/master/screenshots/screencapture-amazon-Peptide-Supplies-Epithalon-10mg-Epitalon-dp-B086K4XWFJ-ref-sr-1-19-2020-08-25-14_03_07.png
2020-08-25,BPC 157,https://www.amazon.com/Peptide-Supplies-BPC-20mg-Vials/dp/B086KJDYF2/ref=pd_bxgy_img_3/141-0631414-8599608?_encoding=UTF8&pd_rd_i=B086KJDYF2&pd_rd_r=cfb8efb5-d9c4-4445-bf9f-255dd67ea670&pd_rd_w=csnXE&pd_rd_wg=3ZRkL&pf_rd_p=ce6c479b-ef53-49a6-845b-bbbf35c28dd3&pf_rd_r=DGNSZJR32HN5M3PW76GG&psc=1&refRID=DGNSZJR32HN5M3PW76GG,B086KJDYF2,(Pharma Grade Peptides),https://raw.githubusercontent.com/the-markup/investigation-amazon-peptides/raw/master/screenshots/screencapture-amazon-Peptide-Supplies-BPC-20mg-Vials-dp-B086KJDYF2-ref-pd-bxgy-img-3-141-0631414-8599608-2020-08-25-12_55_43.png
2020-09-03,BPC 157,https://www.amazon.com/Peptide-Supplies-BPC-20mg-Vials/dp/B086KJDYF2/ref=sr_1_2?dchild=1&m=A3C5TLTWUDRI6T,B086KJDYF2,Pendmo Supplies,https://raw.githubusercontent.com/the-markup/investigation-amazon-peptides/raw/master/screenshots/screencapture-amazon-Peptide-Supplies-BPC-20mg-Vials-dp-B086KJDYF2-ref-sr-1-2-2020-09-03-11_40_11.png
2020-09-03,Melanotan 1,https://www.amazon.com/Melanotan-MT1-10mg/dp/B086W5LBBT/ref=sr_1_5?dchild=1&m=A3NHLVMZMCF47R,B086W5LBBT,(Pharma Grade Peptides),https://raw.githubusercontent.com/the-markup/investigation-amazon-peptides/raw/master/screenshots/screencapture-amazon-Melanotan-MT1-10mg-dp-B086W5LBBT-ref-sr-1-5-2020-09-03-14_49_43.png
2020-09-02,Melanotan 1,https://www.amazon.com/Melanotan-MT1-10mg/dp/B086W5LBBT/ref=sr_1_20?dchild=1&keywords=Singular+Supplies,B086W5LBBT,Singular Supplies,https://raw.githubusercontent.com/the-markup/investigation-amazon-peptides/raw/master/screenshots/screencapture-amazon-Melanotan-MT1-10mg-dp-B086W5LBBT-ref-sr-1-20-2020-09-03-16_06_05.png
2020-08-25,TB-500,https://www.amazon.com/TB-500-Thymosin-Beta-4-Double-HPLC-Tested-Shipping/dp/B0874MS6ZP/ref=sr_1_5?dchild=1&m=A3NHLVMZMCF47R,B0874MS6ZP,(Pharma Grade Peptides),https://raw.githubusercontent.com/the-markup/investigation-amazon-peptides/raw/master/screenshots/screencapture-amazon-TB-500-Thymosin-Beta-4-Double-HPLC-Tested-Shipping-dp-B0874MS6ZP-ref-sr-1-5-2020-08-25-13_52_46.png
2020-09-03,TB-500,https://www.amazon.com/TB-500-Thymosin-Beta-4-Double-HPLC-Tested-Shipping/dp/B0874MS6ZP/ref=sr_1_3?dchild=1&m=A3C5TLTWUDRI6T,B0874MS6ZP,Pendmo Supplies,https://raw.githubusercontent.com/the-markup/investigation-amazon-peptides/raw/master/screenshots/screencapture-amazon-TB-500-Thymosin-Beta-4-Double-HPLC-Tested-Shipping-dp-B0874MS6ZP-ref-sr-1-3-2020-09-03-11_49_36.png
2020-08-25,TB-500,https://www.amazon.com/TB-500-Thymosin-Beta-4-5mg-25mg/dp/B0878B2S63/ref=sr_1_7?dchild=1&m=A2ERT4W6X51QOS,B0878B2S63,QRC,https://raw.githubusercontent.com/the-markup/investigation-amazon-peptides/raw/master/screenshots/screencapture-amazon-TB-500-Thymosin-Beta-4-5mg-25mg-dp-B0878B2S63-ref-sr-1-7-2020-08-25-14_09_48.png
2020-08-25,TB-500,https://www.amazon.com/Purified-Removed-Quality-Thymosin-Fragment/dp/B087B5QKTY/ref=sr_1_4?dchild=1&m=A1N7EEU5NCHRLP,B087B5QKTY,Pendmo Supplies,https://raw.githubusercontent.com/the-markup/investigation-amazon-peptides/raw/master/screenshots/screencapture-amazon-Purified-Removed-Quality-Thymosin-Fragment-dp-B087B5QKTY-ref-sr-1-10-2020-08-25-14_30_28.png
2020-09-02,TB-500,https://www.amazon.com/Purified-Removed-Quality-Thymosin-Fragment/dp/B087B5QKTY/ref=sr_1_13?dchild=1&keywords=tb500,B087B5QKTY,Paradigm Peptides,https://raw.githubusercontent.com/the-markup/investigation-amazon-peptides/raw/master/screenshots/screencapture-amazon-Purified-Removed-Quality-Thymosin-Fragment-dp-B087B5QKTY-ref-sr-1-4-2020-09-02-12_52_09.png
2020-09-02,Melanotan II,https://www.amazon.com/Highly-Purified-Removed-Quality-Melano-tan/dp/B087BCLTV7/ref=sr_1_1?dchild=1&m=A1N7EEU5NCHRLP,B087BCLTV7,Paradigm Peptides,https://raw.githubusercontent.com/the-markup/investigation-amazon-peptides/raw/master/screenshots/screencapture-amazon-Highly-Purified-Removed-Quality-Melano-tan-dp-B087BCLTV7-ref-sr-1-1-2020-09-03-15_48_34.png
2020-09-02,Epitalon,https://www.amazon.com/Epitalon-Highly-Purified-Removed-Quality/dp/B087BK74BP/ref=sr_1_3?dchild=1&m=A1N7EEU5NCHRLP,B087BK74BP,Paradigm Peptides,https://raw.githubusercontent.com/the-markup/investigation-amazon-peptides/raw/master/screenshots/screencapture-amazon-Epitalon-Highly-Purified-Removed-Quality-dp-B087BK74BP-ref-sr-1-3-2020-09-02-12_50_16.png
2020-09-02,GHRP-2,https://www.amazon.com/PARADIGM-PEPTIDES-Paradigm-Peptides-GHRP-2/dp/B087C9SDCH/ref=sr_1_6?dchild=1&m=A1N7EEU5NCHRLP,B087C9SDCH,Paradigm Peptides,https://raw.githubusercontent.com/the-markup/investigation-amazon-peptides/raw/master/screenshots/screencapture-amazon-PARADIGM-PEPTIDES-Paradigm-Peptides-GHRP-2-dp-B087C9SDCH-ref-sr-1-6-2020-09-02-12_35_33.png
2020-08-25,BPC 157,https://www.amazon.com/Trident-Peptide-BPC-157-5mg/dp/B08BG26QF3/ref=sr_1_6?dchild=1&m=A3NHLVMZMCF47R,B08BG26QF3,(Pharma Grade Peptides),https://raw.githubusercontent.com/the-markup/investigation-amazon-peptides/raw/master/screenshots/screencapture-amazon-Trident-Peptide-BPC-157-5mg-dp-B08BG26QF3-ref-sr-1-6-2020-08-25-13_53_44.png
2020-09-03,BPC 157,https://www.amazon.com/Trident-Peptide-BPC-157-5mg/dp/B08BG26QF3/ref=sr_1_6?dchild=1&m=A3C5TLTWUDRI6T,B08BG26QF3,Pendmo Supplies,https://raw.githubusercontent.com/the-markup/investigation-amazon-peptides/raw/master/screenshots/screencapture-amazon-Trident-Peptide-BPC-157-5mg-dp-B08BG26QF3-ref-sr-1-6-2020-09-03-11_58_08.png
2020-08-25,BPC 157,https://www.amazon.com/USPG-BPC-157-10mg-2/dp/B08BJP7KSN/ref=sr_1_20?dchild=1&m=A3NHLVMZMCF47R,B08BJP7KSN,(Pharma Grade Peptides),https://raw.githubusercontent.com/the-markup/investigation-amazon-peptides/raw/master/screenshots/screencapture-amazon-USPG-BPC-157-10mg-2-dp-B08BJP7KSN-ref-sr-1-20-2020-08-25-14_01_18.png
2020-08-25,BPC 157,https://www.amazon.com/BPC-Body-Protective-Compound-25mg/dp/B08BR38H6S/ref=sr_1_4?dchild=1&keywords=bpc157,B08BR38H6S,QRC,https://raw.githubusercontent.com/the-markup/investigation-amazon-peptides/raw/master/screenshots/screencapture-amazon-BPC-Body-Protective-Compound-25mg-dp-B08BR38H6S-ref-sr-1-4-2020-08-25-14_05_59.png
2020-08-25,GHRP-6,https://www.amazon.com/Trident-Peptide-GRP-6-10MG/dp/B08BYNHY19/ref=sr_1_3?dchild=1&m=A2KD7MA1RAXWFK,B08BYNHY19,Trident Peptide Direct,https://raw.githubusercontent.com/the-markup/investigation-amazon-peptides/raw/master/screenshots/screencapture-amazon-Trident-Peptide-GRP-6-10MG-dp-B08BYNHY19-ref-sr-1-3-2020-08-25-14_42_15.png
2020-08-25,GHRP-2,https://www.amazon.com/Trident-Peptide-GRP-2-10MG/dp/B08C1KCWGG/ref=sr_1_7?dchild=1&m=A2KD7MA1RAXWFK,B08C1KCWGG,Trident Peptide Direct,https://raw.githubusercontent.com/the-markup/investigation-amazon-peptides/raw/master/screenshots/screencapture-amazon-Trident-Peptide-GRP-2-10MG-dp-B08C1KCWGG-ref-sr-1-7-2020-08-25-14_44_00.png
